Key,Total Errors Signal 1,Total Errors Signal 2,Total Instances Signal 1,Total Instances Signal 2,Error Rate Signal 1,Error Rate Signal 2,Percentage Fully Present Signal 1,Percentage Fully Present Signal 2,Combined Error Rate,Max Error Rate,Error Rate Difference (S2 - S1),Relative Error Rate Difference (%)
invalid,19666,11474,54905,51008,0.35818231490756763,0.22494510664993728,72.31418370658878,72.4634858812074,0.5831274215575049,0.35818231490756763,-0.13323720825763036,-37.1981537647981
valid,11439,6756,51346,45428,0.22278268998558798,0.1487188518094567,76.06607229248739,84.829635773032,0.3715015417950447,0.22278268998558798,-0.07406383817613127,-33.24488010308275
valid_4_5_50,9305,5510,51497,47719,0.18069013728955086,0.11546763343741487,78.37012987012987,86.29220779220779,0.2961577707269657,0.18069013728955086,-0.06522250385213599,-36.09632757521168
valid_4_4_15,8825,5503,51017,47712,0.17298155516788521,0.1153378604963112,78.8051948051948,86.29220779220779,0.2883194156641964,0.17298155516788521,-0.057643694671574014,-33.323607604075825
valid_4_5_15,8825,5503,51020,47715,0.17297138377107016,0.11533060882322121,78.806571001883,86.29309785078891,0.28830199259429135,0.17297138377107016,-0.057640774947848944,-33.323879182314485
"valid_5_5_,15",11518,6985,53501,48218,0.21528569559447486,0.1448629142643826,76.75324675324676,84.86363636363636,0.36014860985885744,0.21528569559447486,-0.07042278133009225,-32.71131467217629
otsu,23013,11312,57064,49836,0.40328403196411045,0.22698450919014368,71.2597649839165,78.42184730519267,0.6302685411542541,0.40328403196411045,-0.17629952277396677,-43.71596909387581
kl,44395,58183,67439,94944,0.6582986105962425,0.6128138692281766,6.929016526686535,2.6212408561365486,1.271112479824419,0.6582986105962425,-0.045484741368065906,-6.909439065482593
valid_4_5_15_invalids,9653,6963,44402,44233,0.21740011711184182,0.157416408563742,75.89094180333541,81.49609023596983,0.3748165256755838,0.21740011711184182,-0.05998370854809981,-27.59138741274969
outlier_2025,8789,5561,45669,44191,0.19245002080185683,0.12584010318843203,76.88049269946717,84.18102553456508,0.3182901239902889,0.19245002080185683,-0.0666099176134248,-34.61154087481508
outlier_2024,8789,5561,45666,44188,0.192462663688521,0.12584864669140944,76.87889273356402,84.17993079584775,0.31831131037993043,0.192462663688521,-0.06661401699711156,-34.611397203209656
